,GrowthRate,PopDensity,PopTotal,UNRegion,x,y
147,1.16,14.27,5210967.0,Europe,14.546191272290395,64.74155467264335
148,1.18,198.91,28513700.0,Asia,83.90967551717283,28.231842900183477
149,0.81,17.2,4528526.0,Oceania,170.40250553198982,-43.96534328261188
150,2.04,245.08,188924874.0,Asia,69.31400674490953,29.933886336763695
151,1.55,52.85,3929141.0,America,-80.04718648479115,8.559401869186996
152,1.26,24.51,31376670.0,America,-74.39719029128321,-9.1534965013446
153,1.53,337.73,100699395.0,Asia,121.52957879309179,15.78153944462786
154,2.04,16.83,7619321.0,Oceania,144.2376680417449,-6.588806071142671
155,-0.05,126.09,38611794.0,Europe,19.26677435247297,52.1573180411257
156,-0.07,415.25,3683238.0,America,-66.31883661232014,18.19727518115658
157,0.5,208.91,25155317.0,Asia,127.24711814948033,40.22185343312279
158,-0.44,113.0,10349803.0,Europe,-7.998118047438013,39.63201559246127
159,1.29,16.71,6639123.0,America,-58.42326175049993,-23.229966438450013
160,2.72,775.49,4668466.0,Asia,35.336767531929766,31.90116078108592
161,2.47,192.54,2235355.0,Asia,51.434916696588,25.486600548792776
162,-0.71,84.77,19511324.0,Europe,24.93414811183267,45.81746984366329
163,2.33,470.6,11609666.0,Africa,29.86822441839112,-1.9552861349164439
164,2.02,2.15,572540.0,Africa,-13.131061501122062,24.734552874270488
165,1.94,14.67,31540372.0,Asia,44.534999804277795,24.136219081761546
166,2.31,22.8,40234882.0,Africa,29.950062923277844,15.99284842538655
167,3.14,20.2,12339812.0,Africa,30.332621734218453,7.280499857040697
168,3.0,78.58,15129273.0,Africa,-14.417386257224019,14.331158585672933
169,1.93,20.85,583591.0,Oceania,160.2767289055427,-9.669024304017562
170,2.13,89.4,6453184.0,Africa,-11.81658555008034,8.539247094803573
171,0.32,295.69,6126583.0,America,-88.91713389503691,13.737290063466029
172,-0.43,101.2,8850975.0,Europe,20.77570728284989,44.182541345440114
173,0.85,3.48,542975.0,America,-55.90194679208518,4.17803548484367
174,0.06,112.84,5426258.0,Europe,19.50585803323551,48.68187140140418
175,0.09,102.66,2067525.0,Europe,14.856524558936917,46.12542005804895
176,0.74,23.83,9779426.0,Europe,16.708788644751735,62.80114022505779
177,1.32,74.82,1286970.0,Africa,31.459442830247024,-26.559216511990677
178,0.33,100.76,18502413.0,Asia,38.51255542016127,35.03172589697487
179,3.22,11.15,14037472.0,Africa,18.65904682067411,15.336456907697189
180,2.6,134.3,7304578.0,Africa,0.9475140331084435,8.581272787110143
181,0.28,133.02,67959359.0,Asia,101.01901209633647,15.087951707072708
182,2.19,60.6,8481855.0,Asia,71.06624416348917,38.54137863644547
183,1.21,11.44,5373502.0,Asia,59.423562155914084,39.10135583481725
184,0.36,265.12,1360088.0,America,-60.81037194732721,10.473056729249803
